,EPPO_CODE,synonym,ds_language,NCBI_TAXID,preferred_name,EFSA_PHT
173,GUIGCI,speckled blotch of citrus,en,,Phyllosticta citricarpa,PhyllostictaCitricarpa-PHT
174,GUIGCI,virulent spot of citrus,en,,Phyllosticta citricarpa,PhyllostictaCitricarpa-PHT
175,GUIGCI,Fruchtfleckigkeit: Zitrus,de,,Phyllosticta citricarpa,PhyllostictaCitricarpa-PHT
176,GUIGCI,Schwarzfleckigkeit: Zitrus,de,,Phyllosticta citricarpa,PhyllostictaCitricarpa-PHT
177,GUIGCI,taches noires des agrumes,fr,,Phyllosticta citricarpa,PhyllostictaCitricarpa-PHT
178,GUIGCI,taches noires des fruits des agrumes,fr,,Phyllosticta citricarpa,PhyllostictaCitricarpa-PHT
179,GUIGCI,mancha negra de las frutas de cítricos,es,,Phyllosticta citricarpa,PhyllostictaCitricarpa-PHT
180,GUIGCI,manchas negras de los agrios,es,,Phyllosticta citricarpa,PhyllostictaCitricarpa-PHT
181,GUIGCI,mancha negra dos citrinos,pt,,Phyllosticta citricarpa,PhyllostictaCitricarpa-PHT
182,GUIGCI,pinta preta dos citros,pt,,Phyllosticta citricarpa,PhyllostictaCitricarpa-PHT
183,GUIGCI,Черная пятнистость цитрусовых,ru,,Phyllosticta citricarpa,PhyllostictaCitricarpa-PHT
184,PHYSSL,blotch of apple,en,,Phyllosticta solitaria,PhyllostictaSolitaria-PHT
185,PHYSSL,fruit blotch of pome fruits,en,,Phyllosticta solitaria,PhyllostictaSolitaria-PHT
186,PHYSSL,leaf spot of pome fruits,en,,Phyllosticta solitaria,PhyllostictaSolitaria-PHT
187,PHYSSL,teig cancer of pome fruits,en,,Phyllosticta solitaria,PhyllostictaSolitaria-PHT
188,PHYSSL,blotch du pommier,fr,,Phyllosticta solitaria,PhyllostictaSolitaria-PHT
189,PHMPOM,cotton root rot,en,,Phymatotrichopsis omnivora,PhymatotrichopsisOmnivora-PHT
190,PHMPOM,phymatotrichum root rot,en,,Phymatotrichopsis omnivora,PhymatotrichopsisOmnivora-PHT
191,PHMPOM,root rot of soybean,en,,Phymatotrichopsis omnivora,PhymatotrichopsisOmnivora-PHT
192,PHMPOM,soft rot of cotton,en,,Phymatotrichopsis omnivora,PhymatotrichopsisOmnivora-PHT
193,PHMPOM,Texas root rot of alfalfa,en,,Phymatotrichopsis omnivora,PhymatotrichopsisOmnivora-PHT
194,PHMPOM,Texas root rot of bean,en,,Phymatotrichopsis omnivora,PhymatotrichopsisOmnivora-PHT
195,PHMPOM,Texas root rot of cotton,en,,Phymatotrichopsis omnivora,PhymatotrichopsisOmnivora-PHT
196,PHMPOM,Texas root rot of grapevine,en,,Phymatotrichopsis omnivora,PhymatotrichopsisOmnivora-PHT
197,PHMPOM,maladie du Texas du cotonnier,fr,,Phymatotrichopsis omnivora,PhymatotrichopsisOmnivora-PHT
198,PHMPOM,rhizoctone du Texas,fr,,Phymatotrichopsis omnivora,PhymatotrichopsisOmnivora-PHT
199,PHMPOM,pudrición texana,es,,Phymatotrichopsis omnivora,PhymatotrichopsisOmnivora-PHT
200,PHMPOM,Техасская корневая гниль,ru,,Phymatotrichopsis omnivora,PhymatotrichopsisOmnivora-PHT
201,PHYTRA,Фитофтороз древесных и кустарниковых культур,ru,,Phytophthora ramorum,PhytophthoraRamorum-PHT
202,CERCAN,fruit spot of citrus,en,,Pseudocercospora angolensis,PseudocercosporaAngolensis-PHT
203,CERCAN,leaf spot of citrus,en,,Pseudocercospora angolensis,PseudocercosporaAngolensis-PHT
204,CERCAN,cercosporiose des agrumes,fr,,Pseudocercospora angolensis,PseudocercosporaAngolensis-PHT
205,CERCAN,фруктовые пятна цитрусовых,ru,,Pseudocercospora angolensis,PseudocercosporaAngolensis-PHT
206,CERSPD,brown needle blight of pine,en,,Pseudocercospora pini-densiflorae,PseudocercosporaPiniDensiflorae-PHT
207,CERSPD,cercospora blight of pine,en,,Pseudocercospora pini-densiflorae,PseudocercosporaPiniDensiflorae-PHT
208,CERSPD,needle blight of pine,en,,Pseudocercospora pini-densiflorae,LecanostictaAcicola-PHT
209,CERSPD,needle blight of pine,en,,Pseudocercospora pini-densiflorae,PseudocercosporaPiniDensiflorae-PHT
210,CERSPD,cercosporiose des aiguilles du pin,fr,,Pseudocercospora pini-densiflorae,PseudocercosporaPiniDensiflorae-PHT
211,CERSPD,cercosporiosis de las aciculas del pino,es,,Pseudocercospora pini-densiflorae,PseudocercosporaPiniDensiflorae-PHT
212,CERSPD,Коричневый ожог хвои сосны,ru,,Pseudocercospora pini-densiflorae,PseudocercosporaPiniDensiflorae-PHT
213,PUCCPT,common potato rust,en,,Puccinia pittieriana,PucciniaPittieriana-PHT
214,PUCCPT,common rust of potato,en,,Puccinia pittieriana,PucciniaPittieriana-PHT
215,PUCCPT,rouille de la pomme de terre,fr,,Puccinia pittieriana,PucciniaPittieriana-PHT
216,PUCCPT,roya de la papa,es,,Puccinia pittieriana,PucciniaPittieriana-PHT
217,PUCCPT,roya de la patata,es,,Puccinia pittieriana,PucciniaPittieriana-PHT
218,PUCCPT,бурая ржавчина картофеля,ru,,Puccinia pittieriana,PucciniaPittieriana-PHT
219,SEPTLM,annular leaf spot of potato,en,,Septoria malagutii,SeptoriaMalagutii-PHT
220,SEPTLM,septoria leaf spot of potato,en,,Septoria malagutii,SeptoriaMalagutii-PHT
221,SEPTLM,septoria leaf spot of potato,en,,Septoria malagutii,SphaerulinaMusiva-PHT
222,SEPTLM,septoriosi della patata,it,,Septoria malagutii,SeptoriaMalagutii-PHT
223,MYCOPP,septoria canker of poplar,en,,Sphaerulina musiva,SphaerulinaMusiva-PHT
224,MYCOPP,mancha foliar e cancro dos álamos,pt,,Sphaerulina musiva,SphaerulinaMusiva-PHT
225,GNOMUL,black spot of elm,en,,Stegophora ulmea,StegophoraUlmea-PHT
226,GNOMUL,leaf spot of elm,en,,Stegophora ulmea,StegophoraUlmea-PHT
227,GNOMUL,anthracnose de l'orme,fr,,Stegophora ulmea,StegophoraUlmea-PHT
228,GNOMUL,antracnosis del olmo,es,,Stegophora ulmea,StegophoraUlmea-PHT
229,GNOMUL,Чёрная пятнистость листьев ильмовых,ru,,Stegophora ulmea,StegophoraUlmea-PHT
230,THPHSO,smut of potato,en,,Thecaphora solani,ThecaphoraSolani-PHT
231,THPHSO,thecaphora smut of potato,en,,Thecaphora solani,ThecaphoraSolani-PHT
232,THPHSO,charbon de la pomme de terre,fr,,Thecaphora solani,ThecaphoraSolani-PHT
233,THPHSO,carbón de la patata,es,,Thecaphora solani,ThecaphoraSolani-PHT
234,THPHSO,gangrena de la papa,es,,Thecaphora solani,ThecaphoraSolani-PHT
235,THPHSO,Головня картофеля,ru,,Thecaphora solani,ThecaphoraSolani-PHT
236,NEOVIN,Indian bunt of wheat,en,,Tilletia indica,TilletiaIndica-PHT
237,NEOVIN,Karnal bunt of wheat,en,,Tilletia indica,TilletiaIndica-PHT
238,NEOVIN,partial bunt of wheat,en,,Tilletia indica,TilletiaIndica-PHT
239,NEOVIN,carie de Karnal,fr,,Tilletia indica,TilletiaIndica-PHT
240,VENTNA,scab of Japanese pear,en,,Venturia nashicola,VenturiaNashicola-PHT
241,VENTNA,tavelure du nashi,fr,,Venturia nashicola,VenturiaNashicola-PHT
242,VENTNA,tavelure du poirier du Japon,fr,,Venturia nashicola,VenturiaNashicola-PHT
243,VENTNA,cribado del peral del Japón,es,,Venturia nashicola,VenturiaNashicola-PHT
244,VENTNA,kurohoshi-byo,ja,,Venturia nashicola,VenturiaNashicola-PHT
245,NUMOPI,pear driller,en,,Acrobasis pirivorella,NumoniaPyrivorella-PHT
246,NUMOPI,pear fruit moth,en,,Acrobasis pirivorella,NumoniaPyrivorella-PHT
247,NUMOPI,pear moth,en,,Acrobasis pirivorella,NumoniaPyrivorella-PHT
248,NUMOPI,pear pyralid,en,,Acrobasis pirivorella,NumoniaPyrivorella-PHT
