,EPPO_CODE,preferred_name,synonym,ds_language,EFSA_PHT,re,match_language,NCBI_TAXID
197,GYMNFU,Gymnosporangium sabinae,Rost: Sadebaum,de,,,,
198,GYMNFU,Gymnosporangium sabinae,rouille européenne du poirier,fr,,,,
199,GYMNFU,Gymnosporangium sabinae,rouille grillagée du poirier,fr,,,,
200,GYMNFU,Gymnosporangium sabinae,roya del peral,es,,,,
201,GYMNFU,Gymnosporangium sabinae,kriaušinė gleivėtrūdė,lt,,,,
202,GYMNTR,Gymnosporangium tremelloides,rust of apple,en,,,,
203,GYMNTR,Gymnosporangium tremelloides,stem gall of juniper,en,,,,
204,GYMNTR,Gymnosporangium tremelloides,Rost: Apfel,de,,,,
205,GYMNTR,Gymnosporangium tremelloides,Rost: Eberesche,de,,,,
206,GYMNTR,Gymnosporangium tremelloides,Rost: Wacholder,de,,,,
207,GYMNTR,Gymnosporangium tremelloides,rouille européenne du pommier,fr,,,,
208,GYMNTR,Gymnosporangium tremelloides,rouille grillagée du pommier,fr,,,,
209,GYMNTR,Gymnosporangium tremelloides,roya europea del manzano,es,,,,
210,GYMNTR,Gymnosporangium tremelloides,roya reticulada del manzano,es,,,,
211,PHELSU,Coniferiporia sulphurascens,laminated root rot,en,,,,
212,INONWE,Coniferiporia weirii,laminated butt rot of conifers,en,,,,
213,INONWE,Coniferiporia weirii,root rot of conifers,en,,,,
214,INONWE,Coniferiporia weirii,yellow ring rot of conifers,en,,,,
215,INONWE,Coniferiporia weirii,pourridié des racines des conifères,fr,,,,
216,INONWE,Coniferiporia weirii,podredumbre de las raíces de las coníferas,es,,,,
217,INONWE,Coniferiporia weirii,"Глеофиллум заборный, заборный трутовик",ru,,,,
218,MELMFA,Melampsora farlowii,rust of hemlock,en,,,,
219,MELMFA,Melampsora farlowii,rust of tsuga,en,,,,
220,MELMFA,Melampsora farlowii,Rost: Hemlockstanne,de,,,,
221,MELMFA,Melampsora farlowii,Ржавчина тсуги,ru,,,,
222,MELMMT,Melampsora medusae f. sp. tremuloidis,,,,,,
223,MYCOLL,Mycodiella laricis-leptolepidis,needle cast of Japanese larch,en,,,,
224,MYCOLL,Mycodiella laricis-leptolepidis,Септориоз хвои японской лиственницы,ru,,,,
225,PHOMAN,Stagonosporopsis andigena,black blight of potato,en,,,,
226,PHOMAN,Stagonosporopsis andigena,leaf spot of potato,en,,,,
227,PHOMAN,Stagonosporopsis andigena,phoma leaf spot of potato,en,,,,
228,PHOMAN,Stagonosporopsis andigena,фомозная пятнистость листьев картофеля,ru,,,,
229,PHOMAN,Stagonosporopsis andigena,Черный ожог,ru,,,,
230,GUIGCI,Phyllosticta citricarpa,black spot of citrus,en,,,,
231,GUIGCI,Phyllosticta citricarpa,CBS,en,,,,
232,GUIGCI,Phyllosticta citricarpa,freckle spot of citrus,en,,,,
233,GUIGCI,Phyllosticta citricarpa,hard spot of citrus,en,,,,
234,GUIGCI,Phyllosticta citricarpa,shot-hole of citrus,en,,,,
235,GUIGCI,Phyllosticta citricarpa,speckled blotch of citrus,en,,,,
236,GUIGCI,Phyllosticta citricarpa,virulent spot of citrus,en,,,,
237,GUIGCI,Phyllosticta citricarpa,Fruchtfleckigkeit: Zitrus,de,,,,
238,GUIGCI,Phyllosticta citricarpa,Schwarzfleckigkeit: Zitrus,de,,,,
239,GUIGCI,Phyllosticta citricarpa,taches noires des agrumes,fr,,,,
240,GUIGCI,Phyllosticta citricarpa,taches noires des fruits des agrumes,fr,,,,
241,GUIGCI,Phyllosticta citricarpa,mancha negra de las frutas de cítricos,es,,,,
242,GUIGCI,Phyllosticta citricarpa,manchas negras de los agrios,es,,,,
243,GUIGCI,Phyllosticta citricarpa,mancha negra dos citrinos,pt,,,,
244,GUIGCI,Phyllosticta citricarpa,pinta preta dos citros,pt,,,,
245,GUIGCI,Phyllosticta citricarpa,Черная пятнистость цитрусовых,ru,,,,
246,PHYSSL,Phyllosticta solitaria,blotch of apple,en,,,,
247,PHYSSL,Phyllosticta solitaria,fruit blotch of pome fruits,en,,,,
248,PHYSSL,Phyllosticta solitaria,leaf spot of pome fruits,en,,,,
249,PHYSSL,Phyllosticta solitaria,teig cancer of pome fruits,en,,,,
250,PHYSSL,Phyllosticta solitaria,Rußfleckenkrankheit: Apfel,de,,,,
251,PHYSSL,Phyllosticta solitaria,blotch du pommier,fr,,,,
252,PHYSSL,Phyllosticta solitaria,Пятнистость листьев яблони,ru,,,,
253,PHMPOM,Phymatotrichopsis omnivora,cotton root rot,en,,,,
254,PHMPOM,Phymatotrichopsis omnivora,Ozonium root rot,en,,,,
255,PHMPOM,Phymatotrichopsis omnivora,Phymatotrichopsis root rot,en,,,,
256,PHMPOM,Phymatotrichopsis omnivora,phymatotrichum root rot,en,,,,
257,PHMPOM,Phymatotrichopsis omnivora,root rot of conifers,en,,,,
258,PHMPOM,Phymatotrichopsis omnivora,root rot of soybean,en,,,,
259,PHMPOM,Phymatotrichopsis omnivora,soft rot of cotton,en,,,,
260,PHMPOM,Phymatotrichopsis omnivora,Texas root rot of alfalfa,en,,,,
261,PHMPOM,Phymatotrichopsis omnivora,Texas root rot of bean,en,,,,
262,PHMPOM,Phymatotrichopsis omnivora,Texas root rot of cotton,en,,,,
263,PHMPOM,Phymatotrichopsis omnivora,Texas root rot of grapevine,en,,,,
264,PHMPOM,Phymatotrichopsis omnivora,Wurzelfäule: Baumwolle,de,,,,
265,PHMPOM,Phymatotrichopsis omnivora,Wurzelfäule: Wein,de,,,,
266,PHMPOM,Phymatotrichopsis omnivora,maladie du Texas du cotonnier,fr,,,,
267,PHMPOM,Phymatotrichopsis omnivora,rhizoctone du Texas,fr,,,,
268,PHMPOM,Phymatotrichopsis omnivora,pudrición texana,es,,,,
269,PHMPOM,Phymatotrichopsis omnivora,Техасская корневая гниль,ru,,,,
270,PHYTRA,Phytophthora ramorum,Фитофтороз древесных и кустарниковых культур,ru,,,,
271,CERCAN,Pseudocercospora angolensis,fruit spot of citrus,en,,,,
272,CERCAN,Pseudocercospora angolensis,leaf spot of citrus,en,,,,
273,CERCAN,Pseudocercospora angolensis,Blattfleckenkrankheit: Zitrus,de,,,,
274,CERCAN,Pseudocercospora angolensis,cercosporiose des agrumes,fr,,,,
275,CERCAN,Pseudocercospora angolensis,фруктовые пятна цитрусовых,ru,,,,
276,CERSPD,Pseudocercospora pini-densiflorae,brown needle blight of pine,en,,,,
277,CERSPD,Pseudocercospora pini-densiflorae,cercospora blight of pine,en,,,,
278,CERSPD,Pseudocercospora pini-densiflorae,needle blight of pine,en,,,,
279,CERSPD,Pseudocercospora pini-densiflorae,cercosporiose des aiguilles du pin,fr,,,,
280,CERSPD,Pseudocercospora pini-densiflorae,cercosporiosis de las aciculas del pino,es,,,,
281,CERSPD,Pseudocercospora pini-densiflorae,Коричневый ожог хвои сосны,ru,,,,
282,PUCCPT,Puccinia pittieriana,common potato rust,en,,,,
283,PUCCPT,Puccinia pittieriana,common rust of potato,en,,,,
284,PUCCPT,Puccinia pittieriana,Rost: Kartoffel,de,,,,
285,PUCCPT,Puccinia pittieriana,rouille de la pomme de terre,fr,,,,
286,PUCCPT,Puccinia pittieriana,roya de la papa,es,,,,
287,PUCCPT,Puccinia pittieriana,roya de la patata,es,,,,
288,PUCCPT,Puccinia pittieriana,бурая ржавчина картофеля,ru,,,,
289,SEPTLM,Septoria malagutii,annular leaf spot of potato,en,,,,
290,SEPTLM,Septoria malagutii,septoria leaf spot of potato,en,,,,
291,SEPTLM,Septoria malagutii,septoriosi della patata,it,,,,
292,MYCOPP,Sphaerulina musiva,septoria canker of poplar,en,,,,
293,MYCOPP,Sphaerulina musiva,Krebs: Pappel,de,,,,
294,MYCOPP,Sphaerulina musiva,Septoria-Rindenbrand: Pappel,de,,,,
295,MYCOPP,Sphaerulina musiva,mancha foliar e cancro dos álamos,pt,,,,
296,GNOMUL,Stegophora ulmea,black spot of elm,en,,,,
297,GNOMUL,Stegophora ulmea,leaf spot of elm,en,,,,
298,GNOMUL,Stegophora ulmea,Blattfleckenkrankheit: Ulme,de,,,,
299,GNOMUL,Stegophora ulmea,anthracnose de l'orme,fr,,,,
300,GNOMUL,Stegophora ulmea,antracnosis del olmo,es,,,,
301,GNOMUL,Stegophora ulmea,Чёрная пятнистость листьев ильмовых,ru,,,,
302,THPHSO,Thecaphora solani,smut of potato,en,,,,
303,THPHSO,Thecaphora solani,thecaphora smut of potato,en,,,,
304,THPHSO,Thecaphora solani,Brand: Kartoffel,de,,,,
305,THPHSO,Thecaphora solani,charbon de la pomme de terre,fr,,,,
306,THPHSO,Thecaphora solani,carbón de la patata,es,,,,
307,THPHSO,Thecaphora solani,gangrena de la papa,es,,,,
308,THPHSO,Thecaphora solani,Головня картофеля,ru,,,,
309,NEOVIN,Tilletia indica,Indian bunt of wheat,en,,,,
310,NEOVIN,Tilletia indica,Karnal bunt of wheat,en,,,,
311,NEOVIN,Tilletia indica,partial bunt of wheat,en,,,,
312,NEOVIN,Tilletia indica,Indischer Brand: Weizen,de,,,,
313,NEOVIN,Tilletia indica,carie de Karnal,fr,,,,
314,NEOVIN,Tilletia indica,Индийская (карнальская) головня пшеницы,ru,,,,
315,VENTNA,Venturia nashicola,scab of Chinese pear,en,,,,
316,VENTNA,Venturia nashicola,scab of Japanese pear,en,,,,
317,VENTNA,Venturia nashicola,Schorf: Japanische Birne,de,,,,
