,EPPO_CODE,EFSA_PHT,NCBI_TAXID,preferred_name,synonym,re,ds_language,match_language
94,DIBOMO,ApiosporinaMorbosa-PHT,ncbi:191326,Apiosporina morbosa,black knot of cherry,black knot of cherr\w*,en,
95,DIBOMO,ApiosporinaMorbosa-PHT,ncbi:191326,Apiosporina morbosa,black knot of plum,black knot of plum\w*,en,
96,DIBOMO,ApiosporinaMorbosa-PHT,ncbi:191326,Apiosporina morbosa,black knot of stone fruits,black knot of stone fruit\w*,en,
97,DIBOMO,ApiosporinaMorbosa-PHT,ncbi:191326,Apiosporina morbosa,nodule noir du cerisier,nodule noir du cerisier,fr,
98,DIBOMO,ApiosporinaMorbosa-PHT,ncbi:191326,Apiosporina morbosa,nodule noir du pêcher,nodule noir du p\wcher,fr,
99,DIBOMO,ApiosporinaMorbosa-PHT,ncbi:191326,Apiosporina morbosa,nodule noir du prunier,nodule noir du prunier,fr,
100,DIBOMO,ApiosporinaMorbosa-PHT,ncbi:191326,Apiosporina morbosa,nodulo negro del cerezo,nodulo negro del cerezo,es,
101,DIBOMO,ApiosporinaMorbosa-PHT,ncbi:191326,Apiosporina morbosa,nodulo negro del ciruelo,nodulo negro del ciruelo,es,
102,DIBOMO,ApiosporinaMorbosa-PHT,ncbi:191326,Apiosporina morbosa,nodulo negro del melocotonero,nodulo negro del melocotonero,es,
103,DIBOMO,,ncbi:191326,Apiosporina morbosa,черная узловатость сливы и алычи,,ru,
104,1ATRPG,,,Atropellis,nan,,,
105,PHYOPI,BotryosphaeriaKuwatsukai-PHT,,Botryosphaeria kuwatsukai,blister canker of pome fruits,blister canker of pome fruits,en,
106,PHYOPI,BotryosphaeriaKuwatsukai-PHT,,Botryosphaeria kuwatsukai,physalospora canker of pome fruits,physalospora canker of pome fruits,en,
107,PHYOPI,BotryosphaeriaKuwatsukai-PHT,,Botryosphaeria kuwatsukai,ring rot of apple,ring rot of apple,en,
108,PHYOPI,BotryosphaeriaKuwatsukai-PHT,,Botryosphaeria kuwatsukai,wart bark of apple,wart bark of apple,en,
109,PHYOPI,,,Botryosphaeria kuwatsukai,Krebs: Apfel,,de,
110,PHYOPI,,,Botryosphaeria kuwatsukai,Krebs: Birne,,de,
111,PHYOPI,BotryosphaeriaKuwatsukai-PHT,,Botryosphaeria kuwatsukai,ibokawabyoo,ibokawabyoo,ja,
112,PHYOPI,BotryosphaeriaKuwatsukai-PHT,,Botryosphaeria kuwatsukai,rinmonbyoo,rinmonbyoo,ja,
113,CERAFA,CeratocystisFagacearum-PHT,,Bretziella fagacearum,oak wilt,oak wilt,en,
114,CERAFA,CeratocystisFagacearum-PHT,,Bretziella fagacearum,wilt of oak,wilt of oak,en,
115,CERAFA,,,Bretziella fagacearum,amerikanische Welke: Eiche,,de,
116,CERAFA,,,Bretziella fagacearum,Welke: Eiche,,de,
117,CERAFA,CeratocystisFagacearum-PHT,,Bretziella fagacearum,flétrissement américain du chêne,fl\wtrissement am\wricain du ch\wne,fr,
118,CERAFA,CeratocystisFagacearum-PHT,,Bretziella fagacearum,marchitez de la encina,marchitez de la encina,es,
119,CERAFA,CeratocystisFagacearum-PHT,,Bretziella fagacearum,marchitez del roble,marchitez del roble,es,
120,CERAFA,,,Bretziella fagacearum,Сосудистый микоз дуба,,ru,
121,CHMYAR,ChrysomyxaArctostaphyli-PHT,ncbi:60202,Chrysomyxa arctostaphyli,broom rust of spruce,broom rust of spruce,en,
122,CHMYAR,,ncbi:60202,Chrysomyxa arctostaphyli,common yellow witches' broom rust,,en,
123,CHMYAR,,ncbi:60202,Chrysomyxa arctostaphyli,Nadelrost: Fichte,,de,
124,CHMYAR,ChrysomyxaArctostaphyli-PHT,ncbi:60202,Chrysomyxa arctostaphyli,ferrugem amarela da vassoura de bruxa,ferrugem amarela da vassoura de bruxa,pt,
125,CHMYAR,ChrysomyxaArctostaphyli-PHT,ncbi:60202,Chrysomyxa arctostaphyli,ржавчина хвои ели,ржавчина хвои ели,ru,
126,1CRONG,,ncbi:27353,Cronartium,nan,,,
127,ENDCPI,,,Cronartium pini,blister rust of Scots pine,,en,
128,ENDCPI,,,Cronartium pini,resin canker of pine,,en,
129,ENDCPI,,,Cronartium pini,resin top disease of pine,,en,
130,ENDCPI,Cronartium-PHT,,Cronartium pini,stem rust of pine,stem rust of pine,en,
131,ENDCPI,,,Cronartium pini,Rindenblasenrost: Kiefer,,de,
132,ENDCPI,,,Cronartium pini,rouille américaine du groseillier,,fr,
133,ENDCPI,,,Cronartium pini,roya americana del grosellero,,es,
134,CRONRI,,ncbi:27354,Cronartium ribicola,blister rust of white pine,,en,
135,CRONRI,,ncbi:27354,Cronartium ribicola,rust of currant,,en,
136,CRONRI,,ncbi:27354,Cronartium ribicola,rust of gooseberry,,en,
137,CRONRI,,ncbi:27354,Cronartium ribicola,Blasenrost: Weymouthskiefer,,de,
138,CRONRI,,ncbi:27354,Cronartium ribicola,Säulenrost: Johannisbeere,,de,
139,CRONRI,,ncbi:27354,Cronartium ribicola,Säulenrost: Stachelbeere,,de,
140,CRONRI,,ncbi:27354,Cronartium ribicola,chancre du pin Weymouth,,fr,
141,CRONRI,,ncbi:27354,Cronartium ribicola,rouille asiatique du groseillier,,fr,
142,CRONRI,Cronartium-PHT,ncbi:27354,Cronartium ribicola,rouille du pin à cinq feuilles,rouille du pin,fr,
143,CRONRI,Cronartium-PHT,ncbi:27354,Cronartium ribicola,rouille du pin du Lord,rouille du pin,fr,
144,CRONRI,Cronartium-PHT,ncbi:27354,Cronartium ribicola,rouille du pin Weymouth,rouille du pin,fr,
145,CRONRI,,ncbi:27354,Cronartium ribicola,rouille en colonnettes du cassissier,,fr,
146,CRONRI,Cronartium-PHT,ncbi:27354,Cronartium ribicola,rouille vésiculeuse du pin blanc,rouille v\wsiculeuse du pin,fr,
147,CRONRI,,ncbi:27354,Cronartium ribicola,roya del casis,,es,
148,CRONRI,,ncbi:27354,Cronartium ribicola,roya del grosellero negro,,es,
149,CRONRI,,ncbi:27354,Cronartium ribicola,filtrust,,da,
150,CRONRI,,ncbi:27354,Cronartium ribicola,serbentinė veimutrudė,,lt,
151,CERAVI,CeratocystisVirescens-PHT,,Davidsoniella virescens,sapstreak disease of maple,sapstreak disease of maple,en,
152,ELSIAU,ElsinoeAustralis-PHT,,Elsinoë australis,scab of sweet orange,scab of sweet orange,en,
153,ELSIAU,ElsinoeAustralis-PHT,,Elsinoë australis,anthracnose de l'oranger,anthracnose de l\S*\s?oranger,fr,
154,ELSIAU,ElsinoeAustralis-PHT,,Elsinoë australis,gale des agrumes,gale des agrumes,fr,
